instance,run_type,run,n_jobs,n_tools,magazine_size,variation,n_switches,run_time,author
cram_30_40_25_9,RANDOM-SA-SWAP-SW-SEED7,0,30,40,25,9,30,25.909,cram
cram_30_40_25_9,RANDOM-SA-SWAP-SW-SEED7,4,30,40,25,9,30,27.786,cram
cram_30_40_25_9,RANDOM-SD,4,30,40,25,9,50,1.585,cram
cram_30_40_25_9,RANDOM-SD,2,30,40,25,9,50,1.628,cram
cram_30_40_25_9,RANDOM-SD,3,30,40,25,9,50,1.561,cram
cram_30_40_25_9,RANDOM-SD,1,30,40,25,9,50,1.627,cram
cram_30_40_25_9,RANDOM-SD,0,30,40,25,9,50,2.022,cram
cram_30_40_25_9,RANDOM-SA-SWAP-SW-SEEDNO,1,30,40,25,9,30,45.639,cram
cram_30_40_25_9,RANDOM-SA-SWAP-SW-SEEDNO,0,30,40,25,9,30,45.971,cram
cram_30_40_25_9,RANDOM-SA-SWAP-SW-SEEDNO,2,30,40,25,9,30,43.188,cram
cram_30_40_25_9,RANDOM-SA-SWAP-SW-SEEDNO,3,30,40,25,9,30,44.339,cram
cram_30_40_25_9,RANDOM-SA-SWAP-SW-SEEDNO,4,30,40,25,9,30,42.313,cram
cram_30_40_25_10,TOOLSEQ-SD,0,30,40,25,10,38,2.246,cram
cram_30_40_25_10,TOOLSEQ-SD,1,30,40,25,10,38,2.442,cram
cram_30_40_25_10,TOOLSEQ-SD,3,30,40,25,10,38,2.483,cram
cram_30_40_25_10,TOOLSEQ-SD,2,30,40,25,10,38,2.385,cram
cram_30_40_25_10,TOOLSEQ-SD,4,30,40,25,10,38,2.404,cram
cram_30_40_25_10,ORDERED-SD,4,30,40,25,10,52,2.065,cram
cram_30_40_25_10,ORDERED-SD,0,30,40,25,10,52,2.105,cram
cram_30_40_25_10,ORDERED-SD,1,30,40,25,10,52,1.628,cram
cram_30_40_25_10,ORDERED-SD,3,30,40,25,10,52,1.699,cram
cram_30_40_25_10,ORDERED-SD,2,30,40,25,10,52,1.71,cram
cram_30_40_25_10,RANDOM-SA-SWAP-SW-SEED7,2,30,40,25,10,34,28.791,cram
cram_30_40_25_10,RANDOM-SA-SWAP-SW-SEED7,3,30,40,25,10,34,29.552,cram
cram_30_40_25_10,RANDOM-SA-SWAP-SW-SEED7,1,30,40,25,10,34,28.192,cram
cram_30_40_25_10,RANDOM-SA-SWAP-SW-SEED7,0,30,40,25,10,34,27.892,cram
cram_30_40_25_10,RANDOM-SA-SWAP-SW-SEED7,4,30,40,25,10,34,29.937,cram
cram_30_40_25_10,RANDOM-SD,4,30,40,25,10,48,1.677,cram
cram_30_40_25_10,RANDOM-SD,2,30,40,25,10,48,1.596,cram
cram_30_40_25_10,RANDOM-SD,3,30,40,25,10,48,1.676,cram
cram_30_40_25_10,RANDOM-SD,1,30,40,25,10,48,1.575,cram
cram_30_40_25_10,RANDOM-SD,0,30,40,25,10,48,1.891,cram
cram_30_40_25_10,RANDOM-SA-SWAP-SW-SEEDNO,1,30,40,25,10,33,52.298,cram
